A01:A_MAZE_ING|???: "У-ди-ви-тельно!"
A05:ENGISFOUND|ИНЖЕНЕР: "Спасибо, что выручили нас, сэр! Наш самолет был сбит советскими зенитчиками".
A05:FAIL:TANYA|Таня убита - МИССИЯ ПРОВАЛЕНА
A05:INTRO:01|Советы шантажируют Евросоюз ядерным ударом, чтобы не позволить им выступить нам на помощь.
A05:INTRO:02|Мы отправили сюда спецагента Таню для устранения данной угрозы.
A05:INTRO:03|Ядерные Шахты должны быть где-то здесь.\nДля их обнаружения нам потребуется провести разведку в этом районе.
A05:INTRO:04|Зачистите вертолетную площадку и уничтожьте ПВО, чтобы мы могли безопасно отправлять шпионов.
A05:INTRO:05|Избегайте контакта с Волкодавами. Если они поднимут тревогу, то Советы запустят ядерные боеголовки.
A05:MEDICBUNKER|СОВЕТ - Используйте медицинские бункеры для лечения пехоты.
A05:NUCLEARREACTOR|ТАНЯ: "Взрыв реактора может поднять всех на уши. Лучше его пока просто не трогать."
A05:NUKEA:DED|Ядерная Шахта А нейтрализована.
A05:NUKEB:DED|Ядерная Шахта Б нейтрализована.
A05:NUKEISOURS|Великолепно! Вам удалось захватить управление над Ядерной шахтой!
A05:OBJ1|Задание 1: Зачистить зону высадки.
A05:OBJ2|Задание 2: Проникнуть в Радарные Вышки чтобы саботировать связь.
A05:OBJ3|Задание 3: Проникните во дворец, чтобы выяснить местонахождение Ядерных Шахт.
A05:OBJ4|Задание 4: Уничтожить Тактические Ядерные Шахты.
A05:PALACE|Задание Выполнено. Проникнув во дворец, мы получили координаты Тактических Ядерных Шахт.
A05:RADAR:01|Радарная Вышка А отключена.
A05:RADAR:02|Радарная Вышка Б отключена.
A05:RADAR:03|Задание Выполнено. Связь между ними нарушена. Они больше не смогут подать сигнал тревоги.
A05:SECONDLAB:01|Интересно. Данные из Дворца говорят о том что они планировали нанести ядерный удар по Чёрному лесу,
A05:SECONDLAB:02|где находится лаборатория ШтейнТех.
A05:SECONDLAB:03|Их дальнейшими целями стали бы важные европейские города, такие как Париж, Берлин...
