DESC:ABLUT|Blut Royale (A)
NAME:CASBAN|Знамя Ячейки Скорпион
NAME:CASBUN|Бункер Снабжения
NAME:CASHLD|Гражданский Щитогенератор
NAME:CASIN03E|Знак Строительных Работ
NAME:CASSUN|Голографический Экран Заката
NAME:CASTAT01|Статуя
NAME:CASTEIB|Лондонский Университет ШтейнТек
NAME:CASTEID|Университет ШтейнТек
NAME:CASTL04X|Арка Сент-Луиса
NAME:CASTL05X|Стадион
NAME:CASTOF|Офисы ШтейнТек
NAME:CASWFGL|Флаг Швеции
NAME:CATESL|Брошенный Реактор
NAME:CATIMEX|Машина Времени
NAME:CATRAN01X|Склеп
NAME:CATRAN03X|Трансильванский Замок
NAME:CAURB03B|Прожектор
NAME:CAWA2AX|Пентагон
NAME:CAWCFLG|Флаг Крыльев Коронии
NAME:CAWT|Водонапорная Башня
NAME:CAWT01C|Водонапорная Башня
NAME:CAWTXS|Добро Пожаловать В Техас
NAME:CHAOSTOUCH|Касание Хаоса
NAME:COMBINE|Комбайн
NAME:CONTP|Передвижная Платформа
NAME:CONTR|Автокран
NAME:COON|Полоскун
NAME:CRYOSHOT|Криоудар
NAME:CRYOSPEAR|Криокопье
NAME:DBOAT|Корабль-Бомба Москит
NAME:DESTH|Эсминец Горизонт
NAME:DIST|Расщепитель
NAME:DREDK|Дредноут Кузнецов
NAME:DTRK|Самосвал
NAME:ELEVATOR|Подъемник
NAME:ELITERESERVES|Элитные Резервы
NAME:EMC1|Спасательная Машина
NAME:ENGITEAM|Команда Инженеров
NAME:ERESREADY|Элитные Резервы закончились.
NAME:FENCE|Забор
NAME:GADEPO|Арсенал
NAME:GAFWLLS|Стена Цитадели
NAME:GAHYBR|Гибридная Башня
NAME:GASTAS|Координационный Узел
NAME:GAWALLS|Бетонная Стена
NAME:GAYARDS|Верфь Альянса
NAME:GOLDENWIND|Золотой Ветер
NAME:GRAV|Гравитрон
NAME:GRND|Передвижная Дробилка
NAME:HEPH|Стражник Ганзир
NAME:HIJACKERS|Угонщики
NAME:HORNETE|Шершень
NAME:JEEPP|Джип
NAME:JUDGEMENT|Приговор
NAME:KSNK|Тяжелый Танк
NAME:LEVIA|Вертодрон
NAME:LIMOW|Лимузин
NAME:LOGL|Погрузчик Бревен
NAME:LONGBOW|Лонгбоу
NAME:MAMU|Танк Мамонт
NAME:MAYANP|Призма Майя
NAME:MAYANRUIN|Руины Майя
NAME:MOONDROP|Лунный Десант
NAME:MVAN|Минивэн
NAME:NAPSYD|Развалины Пси-Усилителя
NAME:NARDRD|Улучшенная Радарная Башня
NAME:NATTCH|Переделанный Технологический Центр
NAME:NATUNE|Вход В Туннель
NAME:NATUNH|Узел Туннельной Сети
NAME:NAWALLS|Стена Крепости
NAME:NAYARDS|Советская Верфь
NAME:PASPLN|Пассажирский Самолет
NAME:PSYCHICFLASH|Пси-Вспышка
NAME:PU|П
NAME:REGENDRUGS|Стимуляторы Регенерации
NAME:RJAM|Глушитель Радаров
NAME:RUINER|Губитель
NAME:SA|Советский Агент
NAME:SCRG|Хлыст
NAME:SCTR|Ракетовоз
NAME:SHINBOT|Дециматор Шин-Цуруги
NAME:SHOCK|Тесла-Штурмовик
NAME:SIREN|Фрегат Сирена
NAME:SUBX|Боевая Подлодка Тайфун
NAME:SWAT1|Грузовик SWAT
NAME:SWAT2|Фургон SWAT
NAME:TRKO|Грузовик
NAME:WARRIG|Боевой Бурильщик
NAME:WIDOWA|Черная Вдова Альфа
NAME:WONDERDRUGS|Чудо-Стимуляторы
NAME:YACOMDS|Командный Центр Эпсилон
NAME:YAMREF|Развернутый Боевой Бурильщик
NAME:YAOMGA|Узловой Шпиль
NAME:YARCON|Пульт Управления Ракетой
NAME:YATUNL|Туннель Чумных Клещей
NAME:YAVULT|Камера Синтеза
NAME:BLDZ|Бульдозер
NAME:BOOMCAR|Железнодорожный Кран
NAME:BOXCAR|Грузовой Вагон
NAME:BTRUCK|Грузовик
NAME:CABRFLG|Флаг Бразилии
NAME:CABSFLG|Флаг Биссау
NAME:CACAFLG|Флаг Канады
NAME:CAFNFLG|Флаг Финляндии
NAME:CAHBAN|Знамя Штаба Эпсилон
NAME:CAIRFLG|Флаг Ирландии
NAME:CAJTAL|Присоединяйтесь к Альянсу!
NAME:CAKIND|Рекламный Щит Канегава Индастриз
NAME:CAKNIN|Рекламный Щит ФьючерТек
NAME:CAMCFLG|Флаг Морокко
NAME:CAMPER|Автодом
NAME:CAPBAN|Знамя Пси-Корпуса
NAME:CASGFLG|Флаг Сингапура
NAME:CASTCH|Рекламный Щит ШтейнТек
NAME:CATIME02X|Машина Времени
NAME:CATRFLG|Флаг Турции
NAME:CAZOPH|Красная Угроза!
NAME:CEASEFIRE|Перемирие
NAME:CIVP|Транспортный Самолет
NAME:CTCAR|Контейнер
NAME:FIAT|Малыш
NAME:FLATCAR|Платформа
NAME:GACPIL|Замаскированный ДОТ
NAME:KOREAFLAGX|Флаг Южной Кореи
NAME:LYBIAFLAGG|Флаг Ливии
NAME:PILL|ДОТ
NAME:PSOLDIER|Пси-Солдат
NAME:REJU|Покровитель
NAME:SCOMA|Сталкер-Коммандо
NAME:SELECT|Выбрать
NAME:TRINCAR|Вагон Поезда
NAME:YADYNA|Динамо Разума
NAME:YTOWER|Башня Юрия
NAME:CAAEFLG|Флаг Эмиратов
NAME:CAINDFLG|Флаг Индонезии
NAME:CAINFLG|Флаг Индии
NAME:CAKZFLG|Флаг Казахстана
NAME:CANGFLG|Флаг Нигерии
NAME:CAPEFLG|Флаг Перу
NAME:CAPHFLG|Флаг Филиппин
NAME:CAVEFLG|Флаг Венесуэлы
NAME:GACSPHH|Хроносфера
NAME:NASAMM|ЗРК Патриот
NAME:CAFBRL|Бочка
NAME:CANCON|Наноконтейнер
NAME:BOO|Привидение
NAME:CABRFC|Кирпичный Забор
NAME:WAT|???
NAME:CASWLL|Каменная Стена
NAME:COPA|Прототип Апокалипсиса
NAME:CACOOL|Криоагент
NAME:CACRTK|Криорезервуар
NAME:CAGLOB|Гологлобус
TXT_GUARD|Охранять Место
NAME:BOO|Призрак
NAME:CACAPP|Хранилище Руды
NAME:DEVIL|Красный Дьявол
TIP:GUARD|Режим охраны
MSG:CANNOTFIRE|Активация отменена.
NAME:CABRTB|Барный Столик
NAME:FAAAAVAL|Так и знал, что ты полезешь менять Испаритель. Иди лучше займись чем-нибудь действительно полезным.
TXT_COST_LABEL|$
TXT_PWR_LABEL|?
TXT_TIME_LABEL|?
GUI:MAINMENU|
NAME:AMMOCRATES|Ящики Боеприпасов
NAME:CABLUL|Голубой Сигнал
NAME:CADKFLG|Флаг Дании
NAME:CAFMSC01|Неоновый Факел
NAME:CAFMSC02|Неоновая Колонна
NAME:CAFMSC04|Неоновая Пыль
NAME:CAFMSC05|Неоновый Куб
NAME:CAFOOT|Пешеходный Мостик
NAME:CAGRNL|Зелёный Сигнал
NAME:CAJAIL|Тюрьма
NAME:CAMISC05X|Трубы
NAME:CAMPG|Полевой Электрогенератор
NAME:CANMINB|Морская ЭМИ-мина
NAME:CANTHR|Нанонити
NAME:CANTOW|Неоновая Башня
NAME:CANZFLG|Флаг Новой Зеландии
NAME:CAPKFLG|Флаг Пакистана
NAME:CAREDL|Красный Сигнал
NAME:CASSFLG|Флаг КША
NAME:CASTAIR|Лестница
NAME:CASTSGN|Знак ШтейнТек
NAME:CATCSK|Канистры Террановы
NAME:CATRBN|Ветровая Турбина
NAME:CAUAFLG|Флаг Украины
NAME:CAVNFLG|Флаг Вьетнама
NAME:CAWELL|Фонтан
NAME:CAWSTT|Панель Управления
NAME:COND|Кондор
NAME:DECOYSQUADRON|Обманная Эскадрилья
NAME:DECOYTEAM|Обманный Отряд
NAME:DYBTR|Диббук-Транспорт
NAME:ENEMYAIR|Вражеская Авиация
NAME:ESDR|Созерцатель
NAME:FABARR_D|Улучшение Казарм: Протокол "Нетраннер"
NAME:FADBAY|Зона Погрузки Транспортника
NAME:FARWAL|Укреплённая Стена
NAME:FATURB|Трансформатор
NAME:FSPEC|Специалист Фоэн
NAME:GACIRC|Хроно-Контур
NAME:GACOND|Энергопроводящий Узел Парадокса
NAME:GLACIALSCREEN|Ледяной Щит
NAME:IRRADIATEBETA|Облучение β-типа
NAME:IRRADIATEGAMMA|Облучение γ-типа
NAME:KINGSNAKES|Короли Небес
NAME:MADMINE|Мина M.A.D.
NAME:MADU|Танк M.A.D.
NAME:NADIST|Расщепитель
NAME:NANRCTUP|Улучшение Ядерного Реактора: Реактор-Конвертер
NAME:NAPSYB2|Пси-Маяк
NAME:NOTHING|
NAME:NUCLEARPATH|Ядерный Путь
NAME:PACKATTACK|Стайная Атака
NAME:PALADINAID|Подкрепления Паладинов
NAME:PROS|Обращённый
NAME:PSYCHICFLASHB|Супер Пси-Вспышка
NAME:RADATTACK|Грязная Атака
NAME:REAP|Корвет Жнец
NAME:RELEASE|Запуск
NAME:REPU|Репульсор
NAME:ROBO|Роботанк
NAME:SANDBAGS|Мешки с Песком
NAME:SAVG|Дикарь
NAME:SDRNS|Ремонтные Дроны
NAME:SENT|Часовой
NAME:SNAKE|Королевская Змея
NAME:UMIN|Ультра-Рудокоп
NAME:UMON|Ультра-Рудокоп (разгружается)
NAME:WASP|Неоновая Оса
NAME:WASTE|Захоронщик
NAME:YAMAGN|Магнитный Узел
NAME:YASHRD|Турель Измельчитель
NAME:YAULAB|Подземная Лаборатория
NAME:YBLABX|Цитадель Пандоры
THEME:RA2200METER|RA2: 200 Meters
THEME:RA2BLOWITUP|RA2: Blow It Up
THEME:RA2BRAINFRE|RA2: Brain Freeze
THEME:RA2BULLY|RA2: Bully Kit
THEME:RA2BURN|RA2: Burn
THEME:RA2DECEIVER|RA2: Deceiver
THEME:RA2DEFEND|RA2: Defend The Base
THEME:RA2DESTROY|RA2: Destroy
THEME:RA2DROK|RA2: Drok
THEME:RA2EAGLEHUN|RA2: Eagle Hunter
THEME:RA2FORTIFIC|RA2: Fortification
THEME:RA2GRINDER|RA2: Grinder
THEME:RA2HM2|RA2: HM2
THEME:RA2INDEEP|RA2: In Deep
THEME:RA2INDUSTRO|RA2: Industrofunk
THEME:RA2JANK|RA2: Jank
THEME:RA2MOTORIZE|RA2: Motorize
THEME:RA2OPT|RA2: Option
THEME:RA2OPTIONX|RA2: Option X
THEME:RA2PHATATTA|RA2: Phat Attack
THEME:RA2POWER|RA2: Power
THEME:RA2SCO|RA2: Score
THEME:RA2SCOREX|RA2: Score X
THEME:RA2TACTICS|RA2: Tactics
THEME:RA2TENSION|RA2: Tension
THEME:RA2TRANCELV|RA2: Trance L. Vania
TXT_CREDIT|$
TXT_GUARD|Охранять Место
TXT_NEXT_IDLE_HARVESTER|Следующий Рудокоп
TXT_NEXT_IDLE_HARVESTER_DESC|Выбрать следующий незанятый рудокоп.
TXT_POWER|?
TXT_TIME|?
NAME:INFC|Зараженный
TXT_HARV|⛏
NAME:NARADRB|Радарная Башня
